,min_dist_power,has_power_pill,has_pill,num_pill,min_dist_pill,num_ghosts,edibleGhost,dist_edibleGhost,dist_next_ghosts,bias
12,-0.4008321314795644,0.0,-1.1848402248674197,-437.143877340249,-0.050576166089231225,-15.727629747476566,0.0,0.05617010624098772,-0.5597225920884206,-7.863814873738283
13,-0.45035420023441053,0.0,-1.506604117695474,-480.9998918602289,-0.06868099495303864,-17.358289624243504,0.0,0.06199389151515533,-0.6152640372077922,-8.679144812121752
14,-0.6956715280199346,0.0,-1.506604117695474,-692.7833520309772,-0.11665969930414916,-25.099086308495924,0.0,0.089639593958914,-0.9558008418238588,-12.549543154247962
15,-0.52120689583774,0.0,-1.6617116352678203,-501.0970818470801,-0.09293682991864025,-17.811703894166442,0.0,0.06361322819345155,-0.6789745166536785,-8.905851947083221
16,-1.0197984176575896,0.0,-1.6617116352678203,-1019.3520541046353,-0.2131932070715963,-37.27568843496533,0.0,0.13312745869630482,-1.5175115281051594,-18.637844217482666
17,-0.9035965645483122,0.0,-1.6617116352678203,-869.7256607532508,-0.16645400212674416,-31.322427898439177,0.0,0.11186581392299709,-1.5295220052433087,-15.661213949219588
18,-0.86738264647307,0.0,-1.6617116352678203,-820.4175265879827,-0.13674919530950347,-29.262987107411604,0.0,0.10451066824075575,-1.627968197033081,-14.631493553705802
19,-0.8677795915786056,0.0,-2.019085506103824,-717.2636850185384,-0.12880389809145973,-24.96779246163809,0.0,0.08917068736299322,-1.190429465350101,-12.483896230819045
20,-0.8310633065298716,0.0,-2.019085506103824,-668.3029578662204,-0.09814780512091544,-22.963113284080954,0.0,0.08201111887171775,-1.2305651932939996,-11.481556642040477
21,-1.2785290168430867,0.0,-2.830034756979451,-1165.8474298879266,-0.17196120162803097,-41.4444176471673,0.0,0.1480157773113119,-1.9177104039541404,-20.72220882358365
22,-0.9812984830796307,0.0,-3.1172745883635713,-838.4117077368353,-0.13751593357730243,-29.052065961461885,0.0,0.10375737843379251,-1.4894185288187063,-14.526032980730943
23,-1.7438301027989827,0.0,-3.92348058306788,-1463.8857325992985,-0.18773382577625636,-50.826208244427235,0.0,0.18152217230152587,-2.2953639410604127,-25.413104122213618
24,-1.455307285135743,0.0,-4.127455713477414,-1025.8776211744814,-0.1372970979071911,-33.95620682842546,0.0,0.1212721672443767,-1.9562763305463413,-16.97810341421273
25,-1.4074690646992418,0.0,-4.9810044324484135,-952.6937700555193,-0.13382769966463304,-31.130133297976244,0.0,0.11117904749277238,-1.8542912431403626,-15.565066648988122
26,-1.927192776872675,0.0,-5.978866300092782,-1415.5874114273586,-0.21882518630333989,-47.816376305110325,0.0,0.17077277251825126,-2.367186249312132,-23.908188152555162
27,-1.7402050260745598,0.0,-6.493278156855193,-1203.448506641647,-0.10825668129449396,-39.11609154124133,0.0,0.1397003269330049,-2.1973290085885537,-19.558045770620666
28,-1.5611059825879958,0.0,-7.391797982934412,-1069.2391398315624,-0.09038526771828184,-34.112095739901925,0.0,0.12182891335679283,-1.9007471263963087,-17.056047869950962
29,-2.0657767526599575,0.0,-8.581245969421287,-1558.680650024809,-0.21275753658048074,-52.32227212570105,0.0,0.18686525759178974,-2.6113537809870637,-26.161136062850524
30,-2.3561593811678243,0.0,-9.25462165295828,-1866.5584990774278,-0.24165284497239717,-63.517807698829806,0.0,0.22684931321010676,-2.572555439324001,-31.758903849414903
31,-2.087146095759045,0.0,-9.25462165295828,-1589.6721640908897,-0.09899608940325869,-51.79368753116513,0.0,0.18497745546844707,-2.5259197147759247,-25.896843765582567
32,-2.5249055680359076,0.0,-10.100586644199565,-1954.1565389906748,-0.17420856839764626,-64.61866342292869,0.0,0.23078094079617395,-3.0507000212122373,-32.309331711464345
33,-2.5016658088521244,0.0,-10.578432823368352,-1846.1952378746935,-0.16362968315070592,-60.29375745797039,0.0,0.21533484806418013,-3.326622734953219,-30.146878728985197
34,-2.9727850979814385,0.0,-11.246641181531594,-2402.7018155836076,-0.2231305138958422,-66.63378760435133,-13.958986909193813,-0.09443053872667306,-3.7733743779992945,-40.29638725677257
35,-2.5910228190078053,0.0,-11.246641181531594,-1811.9516843064266,-0.01760572271706555,-41.86863373784841,-13.958986909193813,-0.18287751682132633,-2.618500433122425,-27.913810323521112
36,-2.565679355582225,0.0,-11.246641181531594,-1750.616562924501,-0.03760729880490656,-39.382580568086944,-13.958986909193813,-0.19175627814190302,-2.866878712323401,-26.670783738640374
37,-3.2154956238525196,0.0,-12.308472623843821,-2872.564681572835,-0.21405472632265332,-84.15009934082698,-13.958986909193813,-0.03187228252497423,-5.150089860378779,-49.0545431250104
38,-2.5799501543814554,0.0,-12.111155181759775,-1940.3070818150509,-0.09038780081722653,-47.497284842700466,-13.958986909193813,-0.16277519144685476,-3.8434002449111175,-30.72813587594714
39,-3.094018434298409,0.0,-13.1492573753219,-2356.7308308297174,-0.19220209194946544,-62.27981151025098,-13.958986909193813,-0.10998045334845993,-4.5660893079731295,-38.1193992097224
40,-2.982084617514231,0.0,-13.758834714231288,-2289.3169757989085,-0.13063341734084938,-59.659305561142475,-13.958986909193813,-0.1193394031667046,-5.048847860012772,-36.80914623516814
41,-2.927532826991343,0.0,-14.511129424296628,-2079.9855114132574,-0.11547118879780247,-51.135588043703365,-13.958986909193813,-0.14978125144327284,-5.031950439885805,-32.54728747644859
42,-3.5932547273981164,0.0,-15.572586287258785,-2708.2849122897032,-0.2385671127283155,-73.89071918887049,-13.958986909193813,-0.06851292592481878,-6.325531133789642,-43.92485304903215
43,-2.8175088176075405,0.0,-15.956702683683035,-1890.8782936043674,0.012154010998292802,-42.928575340481046,-13.958986909193813,-0.17909201109763823,-5.79132330370916,-28.44378112483743
44,-3.252840353124097,0.0,-15.956702683683035,-2174.367166340981,-0.10087064536252895,-52.118456158251774,-13.958986909193813,-0.14627100817702848,-6.28731958397005,-33.038721533722786
45,-3.6276026333717084,0.0,-17.247892485850443,-2527.892630727093,-0.058706152110022364,-64.73019957533398,-13.958986909193813,-0.10122906740173492,-7.30311424543462,-39.34459324226389
46,-4.017821293705296,0.0,-18.184560051051324,-2971.0830232005774,-0.09275470717563852,-81.65980911990042,-13.958986909193813,-0.04076617617114045,-8.709900275141832,-47.80939801454711
47,-3.640529822781006,0.0,-18.184560051051324,-2655.417773455998,0.04388479784863947,-69.50168847812542,-13.958986909193813,-0.08418803560605119,-8.199320800671654,-41.73033769365961
48,-3.463742359178797,0.0,-19.107913664839508,-2187.6928330494275,0.07476320119170479,-50.38916170374815,-13.958986909193813,-0.15244705980025575,-7.484993477022391,-32.17407430647097
49,-3.604661288685149,0.0,-20.7166477219615,-2308.782451104189,0.024763901702880647,-54.837167361880894,-13.958986909193813,-0.13656132530692455,-8.110815242335464,-34.39807713553735
